doc_id,error_code,title,product_line,device_model,firmware_version,issue_type,risk_level,possible_reason,standard_steps,source_type
ERR-001,E101,设备认证失败,工业网关,GW-200,v1.4.3,设备认证失败,高,设备三元组错误或密钥被重置,定位 E101 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-002,E102,MQTT Broker 不可达,工业网关,GW-500,v2.0.1,MQTT Broker 不可达,中,Broker 地址、端口或 DNS 解析异常,定位 E102 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-003,E103,TLS 握手失败,环境传感器,TH-10,v2.3.0,TLS 握手失败,高,证书过期、系统时间错误或协议版本不匹配,定位 E103 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-004,E104,心跳超时,环境传感器,TH-30,v1.2.0,心跳超时,中,弱网、SIM 卡欠费、网关掉电或防火墙拦截,定位 E104 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-005,E105,设备重复绑定,环境传感器,AQ-20,v1.4.3,设备重复绑定,中,SN/IMEI 已绑定到其他租户或历史项目,定位 E105 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-006,E106,NTP 同步失败,振动监测,VB-100,v2.0.1,NTP 同步失败,低,NTP 服务器不可达或本地网络限制 UDP 123,定位 E106 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-007,E107,配置下发失败,振动监测,VB-300,v2.3.0,配置下发失败,中,设备离线、配置版本冲突或参数校验未通过,定位 E107 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-008,E108,网关存储空间不足,电力采集,PM-80,v1.2.0,网关存储空间不足,中,日志文件过大或缓存消息未及时清理,定位 E108 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-009,E109,蜂窝网络注册失败,电力采集,PM-200,v1.4.3,蜂窝网络注册失败,高,SIM 卡停机、APN 错误或基站信号弱,定位 E109 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-010,E110,以太网链路断开,工业网关,GW-100,v2.0.1,以太网链路断开,中,网线、交换机端口或静态 IP 配置异常,定位 E110 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-011,E201,固件包校验失败,工业网关,GW-200,v2.3.0,固件包校验失败,高,固件包损坏、签名错误或型号不匹配,定位 E201 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-012,E202,升级电量不足,工业网关,GW-500,v1.2.0,升级电量不足,中,电池设备低于升级安全阈值,定位 E202 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
ERR-013,E203,升级过程断连,环境传感器,TH-10,v1.4.3,升级过程断连,高,网络不稳定或设备重启导致下载中断,定位 E203 时，先确认现场现象，再检查配置、网络与设备日志；若风险等级为高，需要生成工单并附上最近 30 分钟日志。,错误码说明
