sample_id,timestamp,device_id,product_line,device_model,firmware_version,online,mqtt_connected,heartbeat_age_sec,rssi_dbm,battery_percent,temperature_c,humidity_percent,vibration_mm_s,voltage_v,error_code,last_upgrade_status,customer_risk_signal,expected_category,expected_priority,expected_route
TEL-001,2026-04-01T09:12:00,DEV-GW500-002,gateway,GW-500,v2.3.0,False,False,1384,-99,68,22.1,36.1,2.58,226.5,E104,idle,,device_offline,P1,handoff
TEL-002,2026-04-01T09:24:00,DEV-TH030-003,sensor,TH-30,v1.4.3,True,False,458,-92,78,31.4,50.4,1.42,225.6,E102,idle,,mqtt_timeout,P2,review
TEL-003,2026-04-01T09:36:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,True,53,-55,13,28.5,54.7,2.18,219.7,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-004,2026-04-01T09:48:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,55,-74,58,62.0,90.0,2.47,223.6,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-005,2026-04-01T10:00:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,12,-71,80,26.2,42.0,0.27,252.0,E304,idle,,power_sampling_risk,P1,handoff
TEL-006,2026-04-01T10:12:00,DEV-GW200-001,gateway,GW-200,v2.0.1,False,False,767,-77,76,23.1,66.4,0.78,228.0,E206,idle,smoke_or_short_circuit,safety_risk,P1,handoff
TEL-007,2026-04-01T10:24:00,DEV-GW500-002,gateway,GW-500,v2.3.0,True,True,12,-75,79,24.1,41.7,0.21,230.9,,idle,,normal,P3,direct_answer
TEL-008,2026-04-01T10:36:00,DEV-TH030-003,sensor,TH-30,v1.4.3,False,False,963,-108,83,30.9,35.1,2.38,226.3,E104,idle,,device_offline,P1,handoff
TEL-009,2026-04-01T10:48:00,DEV-AQ020-004,sensor,AQ-20,v1.2.0,True,False,452,-85,75,24.3,59.2,1.97,222.6,E102,idle,,mqtt_timeout,P2,review
TEL-010,2026-04-01T11:00:00,DEV-VB300-005,vibration,VB-300,v2.0.1,True,True,22,-60,14,19.8,68.6,0.75,223.3,E203,failed,,firmware_upgrade_failed,P1,handoff
TEL-011,2026-04-01T11:12:00,DEV-PM200-006,power_meter,PM-200,v2.3.0,True,True,53,-70,48,70.7,90.9,2.1,225.4,E302,idle,,sensor_sampling_abnormal,P2,review
TEL-012,2026-04-01T11:24:00,DEV-GW200-001,gateway,GW-200,v2.0.1,True,True,54,-52,84,21.3,39.1,3.19,258.0,E304,idle,,power_sampling_risk,P1,handoff
