chunk_id,source_type,title,product_line,device_model,error_code,issue_type,content
FAQ-001,FAQ,GW-100 出现设备离线时应该怎么排查？,工业网关,GW-100,E102,设备离线,"GW-100 出现设备离线时应该怎么排查？
针对 GW-100 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-002,FAQ,GW-100 出现MQTT 连接超时时应该怎么排查？,工业网关,GW-100,E103,MQTT 连接超时,"GW-100 出现MQTT 连接超时时应该怎么排查？
针对 GW-100 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-003,FAQ,GW-100 出现固件升级失败时应该怎么排查？,工业网关,GW-100,E104,固件升级失败,"GW-100 出现固件升级失败时应该怎么排查？
针对 GW-100 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-004,FAQ,GW-100 出现传感器采样异常时应该怎么排查？,工业网关,GW-100,E105,传感器采样异常,"GW-100 出现传感器采样异常时应该怎么排查？
针对 GW-100 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-005,FAQ,GW-100 出现网关心跳丢失时应该怎么排查？,工业网关,GW-100,E106,网关心跳丢失,"GW-100 出现网关心跳丢失时应该怎么排查？
针对 GW-100 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-006,FAQ,GW-100 出现设备绑定失败时应该怎么排查？,工业网关,GW-100,E107,设备绑定失败,"GW-100 出现设备绑定失败时应该怎么排查？
针对 GW-100 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
FAQ-007,FAQ,GW-100 出现电压数据异常时应该怎么排查？,工业网关,GW-100,E108,电压数据异常,"GW-100 出现电压数据异常时应该怎么排查？
针对 GW-100 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对互感器方向、倍率参数、接线相序和采样通道"
FAQ-008,FAQ,GW-100 出现温度数据漂移时应该怎么排查？,工业网关,GW-100,E109,温度数据漂移,"GW-100 出现温度数据漂移时应该怎么排查？
针对 GW-100 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装位置、校准日期、补偿参数和传感器老化情况"
FAQ-009,FAQ,GW-100 出现振动阈值误报时应该怎么排查？,工业网关,GW-100,E110,振动阈值误报,"GW-100 出现振动阈值误报时应该怎么排查？
针对 GW-100 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查安装底座、阈值模板、采样频率和设备工况变化"
FAQ-010,FAQ,GW-100 出现平台告警延迟时应该怎么排查？,工业网关,GW-100,E201,平台告警延迟,"GW-100 出现平台告警延迟时应该怎么排查？
针对 GW-100 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查上报频率、消息队列积压、规则引擎状态和网络延迟"
FAQ-011,FAQ,GW-200 出现设备离线时应该怎么排查？,工业网关,GW-200,E202,设备离线,"GW-200 出现设备离线时应该怎么排查？
针对 GW-200 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间"
FAQ-012,FAQ,GW-200 出现MQTT 连接超时时应该怎么排查？,工业网关,GW-200,E203,MQTT 连接超时,"GW-200 出现MQTT 连接超时时应该怎么排查？
针对 GW-200 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略"
FAQ-013,FAQ,GW-200 出现固件升级失败时应该怎么排查？,工业网关,GW-200,E204,固件升级失败,"GW-200 出现固件升级失败时应该怎么排查？
针对 GW-200 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用"
FAQ-014,FAQ,GW-200 出现传感器采样异常时应该怎么排查？,工业网关,GW-200,E205,传感器采样异常,"GW-200 出现传感器采样异常时应该怎么排查？
针对 GW-200 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：检查采样周期、探头接线、量程配置、校准系数和环境干扰"
FAQ-015,FAQ,GW-200 出现网关心跳丢失时应该怎么排查？,工业网关,GW-200,E206,网关心跳丢失,"GW-200 出现网关心跳丢失时应该怎么排查？
针对 GW-200 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态"
FAQ-016,FAQ,GW-200 出现设备绑定失败时应该怎么排查？,工业网关,GW-200,E207,设备绑定失败,"GW-200 出现设备绑定失败时应该怎么排查？
针对 GW-200 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。
标准步骤：确认 SN/IMEI 未被占用、租户信息正确、二维码未过期"
