doc_id,product_line,device_model,firmware_version,issue_type,error_code,risk_level,source_type,question,answer,standard_steps
FAQ-001,工业网关,GW-100,v1.4.3,设备离线,E102,高,FAQ,GW-100 出现设备离线时应该怎么排查？,针对 GW-100 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-002,工业网关,GW-100,v2.0.1,MQTT 连接超时,E103,中,FAQ,GW-100 出现MQTT 连接超时时应该怎么排查？,针对 GW-100 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-003,工业网关,GW-100,v2.3.0,固件升级失败,E104,高,FAQ,GW-100 出现固件升级失败时应该怎么排查？,针对 GW-100 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-004,工业网关,GW-100,v1.2.0,传感器采样异常,E105,中,FAQ,GW-100 出现传感器采样异常时应该怎么排查？,针对 GW-100 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-005,工业网关,GW-100,v1.4.3,网关心跳丢失,E106,中,FAQ,GW-100 出现网关心跳丢失时应该怎么排查？,针对 GW-100 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-006,工业网关,GW-100,v2.0.1,设备绑定失败,E107,中,FAQ,GW-100 出现设备绑定失败时应该怎么排查？,针对 GW-100 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-007,工业网关,GW-100,v2.3.0,电压数据异常,E108,中,FAQ,GW-100 出现电压数据异常时应该怎么排查？,针对 GW-100 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-008,工业网关,GW-100,v1.2.0,温度数据漂移,E109,中,FAQ,GW-100 出现温度数据漂移时应该怎么排查？,针对 GW-100 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-009,工业网关,GW-100,v1.4.3,振动阈值误报,E110,中,FAQ,GW-100 出现振动阈值误报时应该怎么排查？,针对 GW-100 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-010,工业网关,GW-100,v2.0.1,平台告警延迟,E201,中,FAQ,GW-100 出现平台告警延迟时应该怎么排查？,针对 GW-100 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-011,工业网关,GW-200,v2.3.0,设备离线,E202,高,FAQ,GW-200 出现设备离线时应该怎么排查？,针对 GW-200 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-012,工业网关,GW-200,v1.2.0,MQTT 连接超时,E203,中,FAQ,GW-200 出现MQTT 连接超时时应该怎么排查？,针对 GW-200 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-013,工业网关,GW-200,v1.4.3,固件升级失败,E204,高,FAQ,GW-200 出现固件升级失败时应该怎么排查？,针对 GW-200 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-014,工业网关,GW-200,v2.0.1,传感器采样异常,E205,中,FAQ,GW-200 出现传感器采样异常时应该怎么排查？,针对 GW-200 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-015,工业网关,GW-200,v2.3.0,网关心跳丢失,E206,中,FAQ,GW-200 出现网关心跳丢失时应该怎么排查？,针对 GW-200 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-016,工业网关,GW-200,v1.2.0,设备绑定失败,E207,中,FAQ,GW-200 出现设备绑定失败时应该怎么排查？,针对 GW-200 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-017,工业网关,GW-200,v1.4.3,电压数据异常,E208,中,FAQ,GW-200 出现电压数据异常时应该怎么排查？,针对 GW-200 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-018,工业网关,GW-200,v2.0.1,温度数据漂移,E301,中,FAQ,GW-200 出现温度数据漂移时应该怎么排查？,针对 GW-200 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-019,工业网关,GW-200,v2.3.0,振动阈值误报,E302,中,FAQ,GW-200 出现振动阈值误报时应该怎么排查？,针对 GW-200 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-020,工业网关,GW-200,v1.2.0,平台告警延迟,E303,中,FAQ,GW-200 出现平台告警延迟时应该怎么排查？,针对 GW-200 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-021,工业网关,GW-500,v1.4.3,设备离线,E304,高,FAQ,GW-500 出现设备离线时应该怎么排查？,针对 GW-500 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-022,工业网关,GW-500,v2.0.1,MQTT 连接超时,E305,中,FAQ,GW-500 出现MQTT 连接超时时应该怎么排查？,针对 GW-500 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-023,工业网关,GW-500,v2.3.0,固件升级失败,E306,高,FAQ,GW-500 出现固件升级失败时应该怎么排查？,针对 GW-500 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-024,工业网关,GW-500,v1.2.0,传感器采样异常,E307,中,FAQ,GW-500 出现传感器采样异常时应该怎么排查？,针对 GW-500 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-025,工业网关,GW-500,v1.4.3,网关心跳丢失,E308,中,FAQ,GW-500 出现网关心跳丢失时应该怎么排查？,针对 GW-500 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-026,工业网关,GW-500,v2.0.1,设备绑定失败,E401,中,FAQ,GW-500 出现设备绑定失败时应该怎么排查？,针对 GW-500 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-027,工业网关,GW-500,v2.3.0,电压数据异常,E402,中,FAQ,GW-500 出现电压数据异常时应该怎么排查？,针对 GW-500 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-028,工业网关,GW-500,v1.2.0,温度数据漂移,E403,中,FAQ,GW-500 出现温度数据漂移时应该怎么排查？,针对 GW-500 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-029,工业网关,GW-500,v1.4.3,振动阈值误报,E404,中,FAQ,GW-500 出现振动阈值误报时应该怎么排查？,针对 GW-500 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-030,工业网关,GW-500,v2.0.1,平台告警延迟,E101,中,FAQ,GW-500 出现平台告警延迟时应该怎么排查？,针对 GW-500 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-031,环境传感器,TH-10,v2.3.0,设备离线,E102,高,FAQ,TH-10 出现设备离线时应该怎么排查？,针对 TH-10 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-032,环境传感器,TH-10,v1.2.0,MQTT 连接超时,E103,中,FAQ,TH-10 出现MQTT 连接超时时应该怎么排查？,针对 TH-10 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-033,环境传感器,TH-10,v1.4.3,固件升级失败,E104,高,FAQ,TH-10 出现固件升级失败时应该怎么排查？,针对 TH-10 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-034,环境传感器,TH-10,v2.0.1,传感器采样异常,E105,中,FAQ,TH-10 出现传感器采样异常时应该怎么排查？,针对 TH-10 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-035,环境传感器,TH-10,v2.3.0,网关心跳丢失,E106,中,FAQ,TH-10 出现网关心跳丢失时应该怎么排查？,针对 TH-10 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-036,环境传感器,TH-10,v1.2.0,设备绑定失败,E107,中,FAQ,TH-10 出现设备绑定失败时应该怎么排查？,针对 TH-10 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-037,环境传感器,TH-10,v1.4.3,电压数据异常,E108,中,FAQ,TH-10 出现电压数据异常时应该怎么排查？,针对 TH-10 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-038,环境传感器,TH-10,v2.0.1,温度数据漂移,E109,中,FAQ,TH-10 出现温度数据漂移时应该怎么排查？,针对 TH-10 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-039,环境传感器,TH-10,v2.3.0,振动阈值误报,E110,中,FAQ,TH-10 出现振动阈值误报时应该怎么排查？,针对 TH-10 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-040,环境传感器,TH-10,v1.2.0,平台告警延迟,E201,中,FAQ,TH-10 出现平台告警延迟时应该怎么排查？,针对 TH-10 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-041,环境传感器,TH-30,v1.4.3,设备离线,E202,高,FAQ,TH-30 出现设备离线时应该怎么排查？,针对 TH-30 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-042,环境传感器,TH-30,v2.0.1,MQTT 连接超时,E203,中,FAQ,TH-30 出现MQTT 连接超时时应该怎么排查？,针对 TH-30 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-043,环境传感器,TH-30,v2.3.0,固件升级失败,E204,高,FAQ,TH-30 出现固件升级失败时应该怎么排查？,针对 TH-30 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-044,环境传感器,TH-30,v1.2.0,传感器采样异常,E205,中,FAQ,TH-30 出现传感器采样异常时应该怎么排查？,针对 TH-30 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-045,环境传感器,TH-30,v1.4.3,网关心跳丢失,E206,中,FAQ,TH-30 出现网关心跳丢失时应该怎么排查？,针对 TH-30 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-046,环境传感器,TH-30,v2.0.1,设备绑定失败,E207,中,FAQ,TH-30 出现设备绑定失败时应该怎么排查？,针对 TH-30 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-047,环境传感器,TH-30,v2.3.0,电压数据异常,E208,中,FAQ,TH-30 出现电压数据异常时应该怎么排查？,针对 TH-30 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-048,环境传感器,TH-30,v1.2.0,温度数据漂移,E301,中,FAQ,TH-30 出现温度数据漂移时应该怎么排查？,针对 TH-30 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-049,环境传感器,TH-30,v1.4.3,振动阈值误报,E302,中,FAQ,TH-30 出现振动阈值误报时应该怎么排查？,针对 TH-30 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-050,环境传感器,TH-30,v2.0.1,平台告警延迟,E303,中,FAQ,TH-30 出现平台告警延迟时应该怎么排查？,针对 TH-30 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-051,环境传感器,AQ-20,v2.3.0,设备离线,E304,高,FAQ,AQ-20 出现设备离线时应该怎么排查？,针对 AQ-20 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
FAQ-052,环境传感器,AQ-20,v1.2.0,MQTT 连接超时,E305,中,FAQ,AQ-20 出现MQTT 连接超时时应该怎么排查？,针对 AQ-20 的MQTT 连接超时，建议先核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对 Broker 域名、端口、TLS 证书、设备三元组和防火墙策略
FAQ-053,环境传感器,AQ-20,v1.4.3,固件升级失败,E306,高,FAQ,AQ-20 出现固件升级失败时应该怎么排查？,针对 AQ-20 的固件升级失败，建议先确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认固件包型号匹配、电量充足、升级窗口稳定且断点续传可用
FAQ-054,环境传感器,AQ-20,v2.0.1,传感器采样异常,E307,中,FAQ,AQ-20 出现传感器采样异常时应该怎么排查？,针对 AQ-20 的传感器采样异常，建议先检查采样周期、探头接线、量程配置、校准系数和环境干扰。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查采样周期、探头接线、量程配置、校准系数和环境干扰
FAQ-055,环境传感器,AQ-20,v2.3.0,网关心跳丢失,E308,中,FAQ,AQ-20 出现网关心跳丢失时应该怎么排查？,针对 AQ-20 的网关心跳丢失，建议先查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,查看心跳间隔、NTP 时间、弱网重连日志和平台接入状态
FAQ-056,环境传感器,AQ-20,v1.2.0,设备绑定失败,E401,中,FAQ,AQ-20 出现设备绑定失败时应该怎么排查？,针对 AQ-20 的设备绑定失败，建议先确认 SN/IMEI 未被占用、租户信息正确、二维码未过期。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,确认 SN/IMEI 未被占用、租户信息正确、二维码未过期
FAQ-057,环境传感器,AQ-20,v1.4.3,电压数据异常,E402,中,FAQ,AQ-20 出现电压数据异常时应该怎么排查？,针对 AQ-20 的电压数据异常，建议先核对互感器方向、倍率参数、接线相序和采样通道。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,核对互感器方向、倍率参数、接线相序和采样通道
FAQ-058,环境传感器,AQ-20,v2.0.1,温度数据漂移,E403,中,FAQ,AQ-20 出现温度数据漂移时应该怎么排查？,针对 AQ-20 的温度数据漂移，建议先检查安装位置、校准日期、补偿参数和传感器老化情况。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装位置、校准日期、补偿参数和传感器老化情况
FAQ-059,环境传感器,AQ-20,v2.3.0,振动阈值误报,E404,中,FAQ,AQ-20 出现振动阈值误报时应该怎么排查？,针对 AQ-20 的振动阈值误报，建议先检查安装底座、阈值模板、采样频率和设备工况变化。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查安装底座、阈值模板、采样频率和设备工况变化
FAQ-060,环境传感器,AQ-20,v1.2.0,平台告警延迟,E101,中,FAQ,AQ-20 出现平台告警延迟时应该怎么排查？,针对 AQ-20 的平台告警延迟，建议先检查上报频率、消息队列积压、规则引擎状态和网络延迟。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查上报频率、消息队列积压、规则引擎状态和网络延迟
FAQ-061,振动监测,VB-100,v1.4.3,设备离线,E102,高,FAQ,VB-100 出现设备离线时应该怎么排查？,针对 VB-100 的设备离线，建议先检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间。若 10 分钟内无法恢复，保留设备日志并转交二线支持。,检查供电、网络、SIM 卡余额、MQTT Broker 地址和最近心跳时间
